ds;USD;País;Último;Máxima;lag_Estadual
2018-07-01;3.806869907450355;31.491128574778784;35503.04712047051;40255.47838558614;30.15531757074726
2018-08-01;3.766377379259114;31.163284351465368;34432.160765878376;36936.65985802005;29.290162061454726
2018-09-01;3.827790955644892;31.581757955829815;33414.1864834505;36247.318018361686;29.173380170594303
2018-10-01;3.897604588715083;31.80791405668487;34293.0878869456;35666.07709613932;29.345327665117566
2018-11-01;3.8666628149050246;32.17708719930766;33014.129647179085;34976.34121461486;29.522119816427363
2018-12-01;3.9031549974333535;32.64826825671537;35020.64765307772;35609.060576017335;29.91189323215415
2019-01-01;3.96616615737648;33.14754939953625;34888.03506871363;36077.80360172971;30.59822459317772
2019-02-01;3.999085769073447;33.71262787083069;35732.37237716243;36305.84811990226;31.177327181941834
2019-03-01;3.963012864070398;33.253779038475066;33999.29908321051;36026.04241643124;31.217462231856445
2019-04-01;4.084140974347606;33.64713102289269;34799.62558649557;35916.88776155098;31.954180753163346
2019-05-01;4.06224369495135;33.66381740671858;35301.811563588686;37148.10941517253;31.937831432293226
2019-06-01;4.098023034195574;33.66014515740021;33625.45666461219;37879.115650252934;31.803414967570816
2019-07-01;4.098946780193274;33.20727319857882;32074.980296791317;36382.710676405426;31.90344273205958
2019-08-01;4.083592732606725;32.86630882008152;31201.323866287286;33467.03615349674;31.053552265862166
2019-09-01;4.16496019513452;33.2302525513451;30033.690956805083;32831.236398225046;30.82413801528602
2019-10-01;4.2347094511470615;33.34015355205119;31081.537990163462;32073.916820935894;30.97265056156622
2019-11-01;4.148664604711564;33.678801133101324;29498.998997665585;31417.420234424033;31.110199934150213
2019-12-01;4.174739751900887;34.23722550073478;31501.237265289663;31807.258770623077;31.570606858464192
2020-01-01;4.251752103939815;34.89124947028016;31829.860374159027;32791.9641728727;32.34301190006144
2020-02-01;4.3608026005991976;35.80223523165087;33077.10748382184;33395.28985483686;33.15525459787697
2020-03-01;4.314352667311692;36.02474524336485;33066.23401525958;34651.530351180074;33.77527257263988
2020-04-01;4.331662675392452;35.68994325720427;32087.08679049365;32950.7946277381;33.76134278047513
2020-05-01;4.400246831784448;35.309636736207324;30463.795872063227;32733.34055235658;33.55914388216167
2020-06-01;4.479212075179544;34.97576538145794;30260.872574339468;33325.049561356376;33.45153994251269
