Data;Cultivo;Estadual;País;Id;Último;Abertura;Máxima;Mínima
2014-12-01;Trigo;29.2544;26.3823;2;58988.0;57688.0;67688.0;57038.0
2014-11-01;Trigo;28.7614;26.496;2;57838.0;53563.0;58063.0;51138.0
2014-10-01;Trigo;29.14;26.3908;2;53125.0;47763.0;54525.0;46963.0
2014-09-01;Trigo;30.4003;27.2721;2;47863.0;56188.0;56588.0;46638.0
2014-08-01;Trigo;33.8615;29.861;2;56338.0;53125.0;57863.0;52738.0
2014-07-01;Trigo;39.5198;32.6889;2;53038.0;57863.0;58425.0;51863.0
2014-06-01;Trigo;41.7259;35.17;2;57675.0;62575.0;62613.0;56875.0
2014-05-01;Trigo;42.4292;37.2031;2;62813.0;72325.0;74388.0;62563.0
2014-04-01;Trigo;42.0808;37.7067;2;72150.0;69588.0;72463.0;65638.0
2014-03-01;Trigo;41.278;36.1956;2;69713.0;62363.0;72288.0;61500.0
2014-02-01;Trigo;40.9621;35.8524;2;60038.0;55488.0;62075.0;55413.0
2014-01-01;Trigo;40.6463;36.3143;2;55500.0;60513.0;61238.0;55038.0
2013-12-01;Trigo;41.3505;37.2155;2;60513.0;66888.0;67463.0;59938.0
2013-11-01;Trigo;45.5584;39.6744;2;66825.0;66775.0;67213.0;64238.0
2013-10-01;Trigo;48.8494;42.276;2;66738.0;67813.0;71113.0;66713.0
2013-09-01;Trigo;47.7963;40.9662;2;67913.0;66300.0;69400.0;63713.0
2013-08-01;Trigo;43.3972;37.5558;2;65488.0;66338.0;67638.0;62313.0
2013-07-01;Trigo;40.4711;34.824;2;66363.0;65550.0;69288.0;64813.0
2013-06-01;Trigo;38.1862;33.0811;2;65688.0;70775.0;71438.0;65613.0
2013-05-01;Trigo;37.6902;32.8711;2;70663.0;73150.0;73488.0;67413.0
2013-04-01;Trigo;38.4152;33.0338;2;73025.0;68488.0;73663.0;66025.0
2013-03-01;Trigo;38.7132;33.3206;2;68450.0;71650.0;74138.0;68125.0
2013-02-01;Trigo;39.3903;33.9056;2;71638.0;78150.0;78988.0;69813.0
2013-01-01;Trigo;37.551;33.6915;2;78163.0;78688.0;79963.0;73638.0
2012-12-01;Trigo;35.1434;31.9886;2;77850.0;86350.0;87713.0;76463.0
2012-11-01;Trigo;33.3821;30.8531;2;86350.0;86738.0;91163.0;82963.0
2012-10-01;Trigo;33.3202;29.9562;2;86688.0;89550.0;90100.0;84163.0
2012-09-01;Trigo;32.9749;29.6547;2;89563.0;89200.0;93063.0;84938.0
2012-08-01;Trigo;29.6355;27.399;2;88863.0;89325.0;93088.0;83875.0
2012-07-01;Trigo;26.5591;25.5137;2;89263.0;75888.0;94450.0;75638.0
2012-06-01;Trigo;25.6422;24.7683;2;75888.0;64688.0;76338.0;64100.0
2012-05-01;Trigo;25.4763;24.5897;2;64563.0;65250.0;72138.0;59238.0
2012-04-01;Trigo;24.7953;24.2367;2;65263.0;66288.0;66563.0;60425.0
2012-03-01;Trigo;23.5059;23.6598;2;65888.0;66663.0;67750.0;61150.0
2012-02-01;Trigo;23.2083;23.3978;2;66788.0;66675.0;68325.0;62113.0
2012-01-01;Trigo;23.1623;23.7452;2;66663.0;65313.0;67050.0;59013.0
2011-12-01;Trigo;23.4553;24.2025;2;65313.0;61500.0;65575.0;57725.0
2011-11-01;Trigo;24.1117;24.4758;2;61488.0;62963.0;65913.0;57250.0
2011-10-01;Trigo;25.0235;24.5836;2;62925.0;60913.0;66513.0;59688.0
2011-09-01;Trigo;25.4586;24.7707;2;60600.0;78788.0;78913.0;60538.0
2011-08-01;Trigo;25.6539;24.8768;2;78813.0;67450.0;80563.0;64250.0
2011-07-01;Trigo;26.1445;25.0912;2;67488.0;60050.0;72750.0;59288.0
2011-06-01;Trigo;26.1815;25.0852;2;60038.0;78713.0;78763.0;59600.0
2011-05-01;Trigo;26.3192;25.1147;2;78713.0;80138.0;83438.0;72325.0
2011-04-01;Trigo;26.1004;25.1295;2;80413.0;75975.0;86475.0;73025.0
2011-03-01;Trigo;25.7831;24.9246;2;75913.0;81925.0;83688.0;65650.0
2011-02-01;Trigo;25.0807;24.2616;2;81638.0;84350.0;89238.0;75763.0
2011-01-01;Trigo;24.6605;23.2554;2;83863.0;79313.0;86338.0;75863.0
2010-12-01;Trigo;24.6183;22.9813;2;79263.0;69263.0;80825.0;69113.0
2010-11-01;Trigo;24.6273;23.0686;2;68963.0;72713.0;76038.0;61938.0
2010-10-01;Trigo;25.1475;23.2075;2;72738.0;67488.0;73800.0;64375.0
2010-09-01;Trigo;24.5482;23.0483;2;67613.0;68938.0;75675.0;65113.0
2010-08-01;Trigo;22.6422;21.7269;2;68938.0;66075.0;84088.0;64500.0
2010-07-01;Trigo;22.2438;21.4527;2;66138.0;47938.0;66263.0;47538.0
2010-06-01;Trigo;22.8797;22.1547;2;47925.0;45825.0;48663.0;42563.0
2010-05-01;Trigo;23.0865;22.3685;2;45838.0;50200.0;51688.0;45638.0
2010-04-01;Trigo;23.107;22.6891;2;50513.0;45088.0;51463.0;44713.0
2010-03-01;Trigo;23.3776;22.8055;2;45038.0;51963.0;51963.0;45038.0
2010-02-01;Trigo;23.8321;22.8075;2;51913.0;47500.0;51988.0;46663.0
2010-01-01;Trigo;23.9401;22.7939;2;47313.0;54075.0;57450.0;47313.0
2009-12-01;Trigo;24.5043;22.949;2;54113.0;58650.0;59788.0;51438.0
2009-11-01;Trigo;24.6114;23.0539;2;58650.0;49363.0;60038.0;49363.0
2009-10-01;Trigo;24.7264;23.1498;2;49425.0;45200.0;49650.0;43925.0
2009-09-01;Trigo;25.1052;23.2474;2;45750.0;47100.0;48150.0;42525.0
2009-08-01;Trigo;26.6711;23.8881;2;47100.0;53175.0;55750.0;45325.0
2009-07-01;Trigo;27.5695;24.9274;2;52825.0;51700.0;55375.0;48350.0
