Data,Estadual,País,USD,Previsão,Cultivo,model
2010-02-01,23.38,22.81,1.84,0.00,Trigo,PROPHET
2010-03-01,23.11,22.69,1.79,0.00,Trigo,PROPHET
2010-04-01,23.09,22.37,1.76,0.00,Trigo,PROPHET
2010-05-01,22.88,22.15,1.81,0.00,Trigo,PROPHET
2010-06-01,22.24,21.45,1.81,0.00,Trigo,PROPHET
2010-07-01,22.64,21.73,1.77,0.00,Trigo,PROPHET
2010-08-01,24.55,23.05,1.76,0.00,Trigo,PROPHET
2010-09-01,25.15,23.21,1.72,0.00,Trigo,PROPHET
2010-10-01,24.63,23.07,1.68,0.00,Trigo,PROPHET
2010-11-01,24.62,22.98,1.71,0.00,Trigo,PROPHET
2010-12-01,24.66,23.26,1.69,0.00,Trigo,PROPHET
2011-01-01,25.08,24.26,1.67,0.00,Trigo,PROPHET
2011-02-01,25.78,24.92,1.67,0.00,Trigo,PROPHET
2011-03-01,26.10,25.13,1.66,0.00,Trigo,PROPHET
2011-04-01,26.32,25.11,1.59,0.00,Trigo,PROPHET
2011-05-01,26.18,25.09,1.61,0.00,Trigo,PROPHET
2011-06-01,26.14,25.09,1.59,0.00,Trigo,PROPHET
2011-07-01,25.65,24.88,1.56,0.00,Trigo,PROPHET
2011-08-01,25.46,24.77,1.60,0.00,Trigo,PROPHET
2011-09-01,25.02,24.58,1.75,0.00,Trigo,PROPHET
2011-10-01,24.11,24.48,1.77,0.00,Trigo,PROPHET
2011-11-01,23.46,24.20,1.79,0.00,Trigo,PROPHET
2011-12-01,23.16,23.75,1.84,0.00,Trigo,PROPHET
2012-01-01,23.21,23.40,1.79,0.00,Trigo,PROPHET
2012-02-01,23.51,23.66,1.72,0.00,Trigo,PROPHET
2012-03-01,24.80,24.24,1.80,0.00,Trigo,PROPHET
2012-04-01,25.48,24.59,1.85,0.00,Trigo,PROPHET
2012-05-01,25.64,24.77,1.99,0.00,Trigo,PROPHET
2012-06-01,26.56,25.51,2.05,0.00,Trigo,PROPHET
